文件,输入MB,输出MB,状态
keyword\05.png,0.45,0.09,OK
keyword\06.png,0.47,0.08,OK
keyword\00.png,5.44,0.88,OK
keyword\08.png,0.34,0.06,OK
keyword\07.png,0.53,0.09,OK
keyword\10.png,0.44,0.08,OK
keyword\09.png,0.58,0.12,OK
keyword\11.png,0.51,0.09,OK
keyword\12.png,0.37,0.07,OK
icon\titile.png,8.85,2.57,OK
keyword\13.png,0.52,0.09,OK
keyword\14.png,0.48,0.08,OK
keyword\15.png,0.45,0.08,OK
keyword\17.png,0.49,0.09,OK
keyword\18.png,0.45,0.08,OK
keyword\16.png,0.61,0.10,OK
keyword\19.png,0.57,0.09,OK
keyword\21.png,0.34,0.06,OK
keyword\20.png,0.45,0.08,OK
keyword\22.png,0.52,0.10,OK
keyword\24.png,0.40,0.07,OK
keyword\23.png,0.58,0.10,OK
keyword\25.png,0.57,0.12,OK
keyword\26.png,0.52,0.10,OK
keyword\27.png,0.51,0.09,OK
keyword\28.png,0.48,0.09,OK
keyword\29.png,0.39,0.07,OK
keyword\30.png,0.52,0.09,OK
keyword\31.png,0.38,0.07,OK
keyword\32.png,0.42,0.08,OK
keyword\33.png,0.38,0.06,OK
keyword\34.png,0.44,0.08,OK
keyword\36.png,0.35,0.06,OK
keyword\35.png,0.47,0.09,OK
loading\1.png,3.28,0.17,OK
loading\10.png,4.14,0.26,OK
loading\11.png,2.61,0.13,OK
loading\12.png,3.44,0.18,OK
loading\13.png,3.90,0.18,OK
loading\14.png,2.55,0.10,OK
loading\15.png,2.76,0.15,OK
loading\16.png,2.66,0.15,OK
loading\17.png,3.01,0.17,OK
loading\18.png,2.69,0.12,OK
loading\19.png,3.52,0.14,OK
loading\2.png,3.57,0.17,OK
loading\20.png,3.41,0.20,OK
loading\21.png,3.19,0.17,OK
loading\22.png,2.60,0.14,OK
loading\23.png,3.42,0.19,OK
loading\24.png,3.46,0.17,OK
loading\25.png,3.95,0.26,OK
loading\26.png,2.63,0.14,OK
loading\27.png,2.62,0.12,OK
loading\28.png,4.63,0.27,OK
loading\29.png,3.23,0.19,OK
loading\3.png,4.36,0.29,OK
loading\30.png,3.17,0.20,OK
loading\31.png,2.35,0.11,OK
loading\32.png,2.84,0.15,OK
loading\33.png,3.14,0.15,OK
loading\34.png,3.49,0.22,OK
loading\35.png,2.76,0.14,OK
loading\4.png,2.52,0.11,OK
loading\5.png,2.53,0.12,OK
loading\6.png,2.80,0.12,OK
loading\7.png,2.97,0.15,OK
loading\8.png,3.01,0.13,OK
loading\9.png,2.62,0.13,OK
map\map_zero\1.png,2.25,0.14,OK
map\map_zero\2.png,1.78,0.06,OK
map\map_zero\3.png,1.88,0.13,OK
map\map_zero\4.png,1.82,0.13,OK
map\map_zero\5.png,1.97,0.09,OK
map\map_zero\6.png,1.97,0.14,OK
map\map_zero\7.png,2.33,0.17,OK
map\map_zero\8.png,2.60,0.13,OK
map\map_zero.png,9.10,0.54,OK
spells\01.png,5.53,0.29,OK
keyword\38.png,4.41,0.83,OK
spells\02.png,5.11,0.14,OK
spells\03.png,5.37,0.20,OK
spells\04.png,5.01,0.13,OK
spells\05.png,5.78,0.19,OK
spells\06.png,6.04,0.29,OK
spells\07.png,3.98,0.11,OK
spells\08.png,4.56,0.21,OK
spells\09.png,4.12,0.17,OK
spells\10.png,2.45,0.07,OK
spells\11.png,2.60,0.09,OK
spells\12.png,3.76,0.07,OK
spells\13.png,5.70,0.22,OK
keyword\37.png,6.01,1.00,OK
spells\14.png,5.33,0.20,OK
spells\15.png,6.05,0.18,OK
spells\16.png,4.75,0.14,OK
spells\17.png,4.57,0.14,OK
spells\18.png,4.09,0.10,OK
spells\20.png,4.75,0.13,OK
spells\19.png,5.13,0.15,OK
spells\21.png,4.05,0.15,OK
spells\22.png,5.10,0.15,OK
keyword\39.png,5.07,0.94,OK
spells\23.png,4.72,0.16,OK
spells\24.png,5.41,0.10,OK
spells\25.png,4.81,0.17,OK
spells\26.png,4.81,0.15,OK
spells\27.png,5.30,0.23,OK
spells\29.png,3.69,0.10,OK
spells\28.png,3.85,0.37,OK
spells\32.png,2.24,0.06,OK
spells\31.png,6.66,0.31,OK
spells\33.png,4.08,0.10,OK
spells\30.png,7.69,0.45,OK
spells\34.png,3.06,0.11,OK
spells\35.png,5.76,0.19,OK
spells\37.png,5.77,0.18,OK
spells\36.png,5.70,0.21,OK
spells\38.png,5.54,0.18,OK
spells\40.png,5.01,0.12,OK
spells\39.png,5.25,0.42,OK
spells\41.png,6.89,0.28,OK
spells\42.png,4.49,0.13,OK
spells\43.png,3.55,0.09,OK
spells\abc.png,3.98,0.11,OK
spells\Acacia_Chrono Echo_spell-1.png,4.62,0.31,OK
spells\Acacia_Chrono Echo_spell01-1.png,3.91,0.16,OK
spells\Acacia_Chrono Echo_spell.png,4.45,0.23,OK
spells\Acacia_Chrono Echo_spell01.png,3.59,0.13,OK
spells\Acacia_Chrono Echo_spell02-1.png,4.07,0.19,OK
spells\Acacia_Chrono Echo_spell02.png,3.78,0.17,OK
spells\Acacia_Chrono Echo_spell03.png,4.23,0.16,OK
spells\Acacia_Chrono Echo_spell_gen1.png,3.67,0.14,OK
spells\Acacia_Chrono Echo_spell_gen2.png,3.90,0.17,OK
spells\fenny_spell.png,5.23,0.18,OK
spells\Acacia_Chrono Echo_spell_gen3.png,4.95,0.27,OK
spells\fenny_spell01.png,4.70,0.08,OK
spells\fenny_spell02.png,4.58,0.09,OK
spells\fenny_spell03.png,4.77,0.10,OK
spells\lyfe_spell01.png,4.59,0.08,OK
spells\lyfe_spell.png,5.38,0.19,OK
spells\lyfe_spell02.png,4.52,0.10,OK
spells\mauxir_lotus_spell01.png,0.96,0.04,OK
spells\lyfe_spell03.png,4.71,0.10,OK
spells\mauxir_lotus_spell03.png,0.92,0.04,OK
spells\mauxir_lotus_robot.png,5.24,0.30,OK
spells\mauxir_lotus_spell.png,4.61,0.23,OK
spells\mauxir_lotus_spell02.png,3.37,0.10,OK
spells\pupu_specular_soul_spell01.png,0.95,0.04,OK
spells\pupu_specular_soul_spell02.png,0.99,0.05,OK
spells\pupu_specular_soul_spell03.png,0.95,0.05,OK
spells\pupu_specular_soul_spell.png,4.38,0.22,OK
units\abc.png,3.98,0.11,OK
units\Amulet_Squad_Cattail_01.png,6.05,0.27,OK
units\Amulet_Squad_Peaches_01.png,5.91,0.26,OK
units\Amulet_Squad_Scorching_01.png,6.28,0.34,OK
units\Amulet_Squad_Cattail_00.png,0.49,0.08,OK
units\Amulet_Squad_Peaches_00.png,0.70,0.11,OK
units\Argo_Squad_Arrowhead_02.png,1.44,0.09,OK
units\Amulet_Squad_Scorching_00.png,0.65,0.11,OK
units\Argo_Squad_Arrowhead_00.png,0.59,0.08,OK
units\Argo_Squad_Musician_02.png,1.52,0.12,OK
units\Argo_Squad_Musician_01.png,1.80,0.23,OK
units\Argo_Squad_Musician_00.png,0.57,0.09,OK
units\Argo_Squad_Pigeon_02.png,5.85,0.23,OK
units\Argo_Squad_Pigeon_00.png,0.55,0.09,OK
units\Argo_Squad_Arrowhead_01.png,1.84,0.28,OK
units\Bridget_Squad_Chinchilla_00.png,0.74,0.09,OK
units\Bridget_Squad_Chinchilla_02.png,4.72,0.22,OK
units\Argo_Squad_Pigeon_01.png,1.83,0.20,OK
units\Bridget_Squad_Feier_02.png,5.58,0.34,OK
units\Bridget_Squad_Chinchilla_01.png,1.70,0.17,OK
units\Bridget_Squad_Feier_00.png,0.72,0.11,OK
units\Bridget_Squad_Valerie_02.png,5.13,0.28,OK
units\Bridget_Squad_Feier_01.png,2.36,0.39,OK
